m	0.05	0.01
1	2.19	3.66
2	3	4.61
3	3.6	5.36
4	4.11	5.99
5	4.56	6.55
6	4.97	7.06
7	5.34	7.54
8	5.69	7.98
9	6.02	8.39
10	6.33	8.79
11	6.63	9.16
12	6.91	9.52
13	7.19	9.87
14	7.45	10.21
15	7.7	10.53
16	7.95	10.84
17	8.19	11.15
18	8.42	11.44
19	8.64	11.73
20	8.86	12.01
21	9.08	12.29
22	9.29	12.56
23	9.49	12.82
25	9.89	13.33
24	9.69	13.38
26	10.08	13.58
27	10.27	13.83
28	10.45	14.06
29	10.64	14.3
30	10.82	14.53
31	10.99	14.76
32	11.17	14.98
33	11.34	15.2
34	11.5	15.42
35	11.67	15.63
36	11.83	15.85
37	11.99	16.05
38	12.15	16.26
39	12.31	16.47
40	12.47	16.67
50	13.92	18.56
60	15.24	20.28
70	16.45	21.86
80	17.58	23.34
90	18.65	24.73
