Method	ID	Branch	Number of mutations	FP	FN	TP
dSig	m5_S18_k0_eps0.1	1	188	0	3	6
dSig	m5_S18_k0_eps0.1	3	56	2	6	3
dSig	m5_S18_k0_eps0.1	2	192	1	4	5
dSig	m5_S18_k0_eps0.1	5	45	1	5	4
dSig	m5_S18_k0_eps0.1	4	178	0	3	6
PhyloSigFinder.dSig	m5_S18_k0_eps0.1	1	188	0	3	6
PhyloSigFinder.dSig	m5_S18_k0_eps0.1	3	56	1	3	6
PhyloSigFinder.dSig	m5_S18_k0_eps0.1	2	192	1	3	6
PhyloSigFinder.dSig	m5_S18_k0_eps0.1	5	45	0	4	5
PhyloSigFinder.dSig	m5_S18_k0_eps0.1	4	178	0	3	6
PhySigs	m5_S18_k0_eps0.1	1	188	0	3	6
PhySigs	m5_S18_k0_eps0.1	3	56	0	3	6
PhySigs	m5_S18_k0_eps0.1	2	192	0	3	6
PhySigs	m5_S18_k0_eps0.1	5	45	0	3	6
PhySigs	m5_S18_k0_eps0.1	4	178	0	3	6
dSig	m5_S37_k0_eps0.1	1	49	1	8	5
dSig	m5_S37_k0_eps0.1	3	85	0	8	5
dSig	m5_S37_k0_eps0.1	2	106	0	9	4
dSig	m5_S37_k0_eps0.1	5	92	0	8	5
dSig	m5_S37_k0_eps0.1	4	103	1	9	4
PhyloSigFinder.dSig	m5_S37_k0_eps0.1	1	49	0	8	5
PhyloSigFinder.dSig	m5_S37_k0_eps0.1	3	85	0	7	6
PhyloSigFinder.dSig	m5_S37_k0_eps0.1	2	106	1	7	6
PhyloSigFinder.dSig	m5_S37_k0_eps0.1	5	92	1	6	7
PhyloSigFinder.dSig	m5_S37_k0_eps0.1	4	103	1	8	5
PhySigs	m5_S37_k0_eps0.1	1	49	0	8	5
PhySigs	m5_S37_k0_eps0.1	3	85	0	8	5
PhySigs	m5_S37_k0_eps0.1	2	106	0	8	5
PhySigs	m5_S37_k0_eps0.1	5	92	0	8	5
PhySigs	m5_S37_k0_eps0.1	4	103	0	8	5
dSig	m5_S3_k0_eps0.1	1	110	1	5	7
dSig	m5_S3_k0_eps0.1	3	107	2	5	7
dSig	m5_S3_k0_eps0.1	2	188	0	4	8
dSig	m5_S3_k0_eps0.1	5	107	1	6	6
dSig	m5_S3_k0_eps0.1	4	39	3	8	4
PhyloSigFinder.dSig	m5_S3_k0_eps0.1	1	110	2	5	7
PhyloSigFinder.dSig	m5_S3_k0_eps0.1	3	107	2	5	7
PhyloSigFinder.dSig	m5_S3_k0_eps0.1	2	188	1	3	9
PhyloSigFinder.dSig	m5_S3_k0_eps0.1	5	107	2	5	7
PhyloSigFinder.dSig	m5_S3_k0_eps0.1	4	39	1	6	6
PhySigs	m5_S3_k0_eps0.1	1	110	0	5	7
PhySigs	m5_S3_k0_eps0.1	3	107	0	5	7
PhySigs	m5_S3_k0_eps0.1	2	188	0	5	7
PhySigs	m5_S3_k0_eps0.1	5	107	0	5	7
PhySigs	m5_S3_k0_eps0.1	4	39	0	5	7
dSig	m5_S45_k0_eps0.1	1	81	0	12	4
dSig	m5_S45_k0_eps0.1	3	88	0	10	6
dSig	m5_S45_k0_eps0.1	2	176	0	12	4
dSig	m5_S45_k0_eps0.1	5	101	0	12	4
dSig	m5_S45_k0_eps0.1	4	74	1	11	5
PhyloSigFinder.dSig	m5_S45_k0_eps0.1	1	81	0	10	6
PhyloSigFinder.dSig	m5_S45_k0_eps0.1	3	88	0	7	9
PhyloSigFinder.dSig	m5_S45_k0_eps0.1	2	176	0	5	11
PhyloSigFinder.dSig	m5_S45_k0_eps0.1	5	101	1	10	6
PhyloSigFinder.dSig	m5_S45_k0_eps0.1	4	74	0	8	8
PhySigs	m5_S45_k0_eps0.1	1	81	0	12	4
PhySigs	m5_S45_k0_eps0.1	3	88	0	12	4
PhySigs	m5_S45_k0_eps0.1	2	176	0	12	4
PhySigs	m5_S45_k0_eps0.1	5	101	0	12	4
PhySigs	m5_S45_k0_eps0.1	4	74	0	12	4
dSig	m5_S5_k0_eps0.1	1	32	2	6	6
dSig	m5_S5_k0_eps0.1	3	67	1	6	6
dSig	m5_S5_k0_eps0.1	2	84	0	8	4
dSig	m5_S5_k0_eps0.1	5	64	0	7	5
dSig	m5_S5_k0_eps0.1	4	196	0	7	5
PhyloSigFinder.dSig	m5_S5_k0_eps0.1	1	32	0	6	6
PhyloSigFinder.dSig	m5_S5_k0_eps0.1	3	67	0	5	7
PhyloSigFinder.dSig	m5_S5_k0_eps0.1	2	84	0	5	7
PhyloSigFinder.dSig	m5_S5_k0_eps0.1	5	64	0	5	7
PhyloSigFinder.dSig	m5_S5_k0_eps0.1	4	196	0	3	9
PhySigs	m5_S5_k0_eps0.1	1	32	0	6	6
PhySigs	m5_S5_k0_eps0.1	3	67	0	6	6
PhySigs	m5_S5_k0_eps0.1	2	84	0	6	6
PhySigs	m5_S5_k0_eps0.1	5	64	0	6	6
PhySigs	m5_S5_k0_eps0.1	4	196	0	6	6
dSig	m5_S62_k0_eps0.1	1	52	0	11	6
dSig	m5_S62_k0_eps0.1	3	124	0	9	8
dSig	m5_S62_k0_eps0.1	2	154	0	9	8
dSig	m5_S62_k0_eps0.1	5	105	0	9	8
dSig	m5_S62_k0_eps0.1	4	49	1	10	7
PhyloSigFinder.dSig	m5_S62_k0_eps0.1	1	52	0	10	7
PhyloSigFinder.dSig	m5_S62_k0_eps0.1	3	124	0	7	10
PhyloSigFinder.dSig	m5_S62_k0_eps0.1	2	154	0	6	11
PhyloSigFinder.dSig	m5_S62_k0_eps0.1	5	105	0	7	10
PhyloSigFinder.dSig	m5_S62_k0_eps0.1	4	49	0	9	8
PhySigs	m5_S62_k0_eps0.1	1	52	0	8	9
PhySigs	m5_S62_k0_eps0.1	3	124	0	8	9
PhySigs	m5_S62_k0_eps0.1	2	154	0	8	9
PhySigs	m5_S62_k0_eps0.1	5	105	0	8	9
PhySigs	m5_S62_k0_eps0.1	4	49	0	8	9
dSig	m5_S66_k0_eps0.1	1	170	1	7	5
dSig	m5_S66_k0_eps0.1	3	81	1	6	6
dSig	m5_S66_k0_eps0.1	2	46	0	6	6
dSig	m5_S66_k0_eps0.1	5	19	1	8	4
dSig	m5_S66_k0_eps0.1	4	132	0	5	7
PhyloSigFinder.dSig	m5_S66_k0_eps0.1	1	170	1	4	8
PhyloSigFinder.dSig	m5_S66_k0_eps0.1	3	81	1	4	8
PhyloSigFinder.dSig	m5_S66_k0_eps0.1	2	46	0	6	6
PhyloSigFinder.dSig	m5_S66_k0_eps0.1	5	19	NA	NA	NA
PhyloSigFinder.dSig	m5_S66_k0_eps0.1	4	132	0	4	8
PhySigs	m5_S66_k0_eps0.1	1	170	0	7	5
PhySigs	m5_S66_k0_eps0.1	3	81	0	7	5
PhySigs	m5_S66_k0_eps0.1	2	46	0	7	5
PhySigs	m5_S66_k0_eps0.1	5	19	0	7	5
PhySigs	m5_S66_k0_eps0.1	4	132	0	7	5
dSig	m5_S69_k0_eps0.1	1	98	0	10	7
dSig	m5_S69_k0_eps0.1	3	151	0	12	5
dSig	m5_S69_k0_eps0.1	2	78	0	12	5
dSig	m5_S69_k0_eps0.1	5	96	0	10	7
dSig	m5_S69_k0_eps0.1	4	109	0	12	5
PhyloSigFinder.dSig	m5_S69_k0_eps0.1	1	98	1	9	8
PhyloSigFinder.dSig	m5_S69_k0_eps0.1	3	151	1	9	8
PhyloSigFinder.dSig	m5_S69_k0_eps0.1	2	78	1	10	7
PhyloSigFinder.dSig	m5_S69_k0_eps0.1	5	96	0	10	7
PhyloSigFinder.dSig	m5_S69_k0_eps0.1	4	109	2	9	8
PhySigs	m5_S69_k0_eps0.1	1	98	0	12	5
PhySigs	m5_S69_k0_eps0.1	3	151	0	12	5
PhySigs	m5_S69_k0_eps0.1	2	78	0	12	5
PhySigs	m5_S69_k0_eps0.1	5	96	0	12	5
PhySigs	m5_S69_k0_eps0.1	4	109	0	12	5
dSig	m5_S71_k0_eps0.1	1	67	1	4	7
dSig	m5_S71_k0_eps0.1	3	168	0	4	7
dSig	m5_S71_k0_eps0.1	2	102	0	4	7
dSig	m5_S71_k0_eps0.1	5	23	1	7	4
dSig	m5_S71_k0_eps0.1	4	47	0	5	6
PhyloSigFinder.dSig	m5_S71_k0_eps0.1	1	67	0	4	7
PhyloSigFinder.dSig	m5_S71_k0_eps0.1	3	168	0	2	9
PhyloSigFinder.dSig	m5_S71_k0_eps0.1	2	102	0	2	9
PhyloSigFinder.dSig	m5_S71_k0_eps0.1	5	23	0	7	4
PhyloSigFinder.dSig	m5_S71_k0_eps0.1	4	47	0	6	5
PhySigs	m5_S71_k0_eps0.1	1	67	0	4	7
PhySigs	m5_S71_k0_eps0.1	3	168	0	4	7
PhySigs	m5_S71_k0_eps0.1	2	102	0	4	7
PhySigs	m5_S71_k0_eps0.1	5	23	0	4	7
PhySigs	m5_S71_k0_eps0.1	4	47	0	4	7
dSig	m5_S9_k0_eps0.1	1	125	0	7	7
dSig	m5_S9_k0_eps0.1	3	88	0	7	7
dSig	m5_S9_k0_eps0.1	2	141	2	5	9
dSig	m5_S9_k0_eps0.1	5	86	0	6	8
dSig	m5_S9_k0_eps0.1	4	126	1	8	6
PhyloSigFinder.dSig	m5_S9_k0_eps0.1	1	125	0	6	8
PhyloSigFinder.dSig	m5_S9_k0_eps0.1	3	88	1	5	9
PhyloSigFinder.dSig	m5_S9_k0_eps0.1	2	141	2	6	8
PhyloSigFinder.dSig	m5_S9_k0_eps0.1	5	86	0	6	8
PhyloSigFinder.dSig	m5_S9_k0_eps0.1	4	126	1	6	8
PhySigs	m5_S9_k0_eps0.1	1	125	0	6	8
PhySigs	m5_S9_k0_eps0.1	3	88	0	6	8
PhySigs	m5_S9_k0_eps0.1	2	141	0	6	8
PhySigs	m5_S9_k0_eps0.1	5	86	0	6	8
PhySigs	m5_S9_k0_eps0.1	4	126	0	6	8
dSig	m5_S18_k0_eps0.2	1	94	1	6	7
dSig	m5_S18_k0_eps0.2	3	102	2	7	6
dSig	m5_S18_k0_eps0.2	2	87	1	7	6
dSig	m5_S18_k0_eps0.2	5	55	1	8	5
dSig	m5_S18_k0_eps0.2	4	25	0	8	5
PhyloSigFinder.dSig	m5_S18_k0_eps0.2	1	94	1	8	5
PhyloSigFinder.dSig	m5_S18_k0_eps0.2	3	102	1	6	7
PhyloSigFinder.dSig	m5_S18_k0_eps0.2	2	87	1	7	6
PhyloSigFinder.dSig	m5_S18_k0_eps0.2	5	55	0	9	4
PhyloSigFinder.dSig	m5_S18_k0_eps0.2	4	25	0	8	5
PhySigs	m5_S18_k0_eps0.2	1	94	1	7	6
PhySigs	m5_S18_k0_eps0.2	3	102	1	7	6
PhySigs	m5_S18_k0_eps0.2	2	87	1	7	6
PhySigs	m5_S18_k0_eps0.2	5	55	1	7	6
PhySigs	m5_S18_k0_eps0.2	4	25	1	7	6
dSig	m5_S37_k0_eps0.2	1	182	1	10	6
dSig	m5_S37_k0_eps0.2	3	131	2	12	4
dSig	m5_S37_k0_eps0.2	2	104	1	10	6
dSig	m5_S37_k0_eps0.2	5	80	1	10	6
dSig	m5_S37_k0_eps0.2	4	185	0	8	8
PhyloSigFinder.dSig	m5_S37_k0_eps0.2	1	182	0	3	13
PhyloSigFinder.dSig	m5_S37_k0_eps0.2	3	131	1	7	9
PhyloSigFinder.dSig	m5_S37_k0_eps0.2	2	104	1	8	8
PhyloSigFinder.dSig	m5_S37_k0_eps0.2	5	80	1	8	8
PhyloSigFinder.dSig	m5_S37_k0_eps0.2	4	185	1	5	11
PhySigs	m5_S37_k0_eps0.2	1	182	1	10	6
PhySigs	m5_S37_k0_eps0.2	3	131	1	10	6
PhySigs	m5_S37_k0_eps0.2	2	104	1	10	6
PhySigs	m5_S37_k0_eps0.2	5	80	1	10	6
PhySigs	m5_S37_k0_eps0.2	4	185	1	10	6
dSig	m5_S3_k0_eps0.2	1	170	1	8	3
dSig	m5_S3_k0_eps0.2	3	22	1	7	4
dSig	m5_S3_k0_eps0.2	2	67	0	6	5
dSig	m5_S3_k0_eps0.2	5	74	0	6	5
dSig	m5_S3_k0_eps0.2	4	39	0	5	6
PhyloSigFinder.dSig	m5_S3_k0_eps0.2	1	170	0	6	5
PhyloSigFinder.dSig	m5_S3_k0_eps0.2	3	22	0	7	4
PhyloSigFinder.dSig	m5_S3_k0_eps0.2	2	67	0	7	4
PhyloSigFinder.dSig	m5_S3_k0_eps0.2	5	74	2	6	5
PhyloSigFinder.dSig	m5_S3_k0_eps0.2	4	39	0	6	5
PhySigs	m5_S3_k0_eps0.2	1	170	1	6	5
PhySigs	m5_S3_k0_eps0.2	3	22	1	6	5
PhySigs	m5_S3_k0_eps0.2	2	67	1	6	5
PhySigs	m5_S3_k0_eps0.2	5	74	1	6	5
PhySigs	m5_S3_k0_eps0.2	4	39	1	6	5
dSig	m5_S45_k0_eps0.2	1	181	2	7	8
dSig	m5_S45_k0_eps0.2	3	103	0	7	8
dSig	m5_S45_k0_eps0.2	2	48	2	9	6
dSig	m5_S45_k0_eps0.2	5	94	1	7	8
dSig	m5_S45_k0_eps0.2	4	123	1	8	7
PhyloSigFinder.dSig	m5_S45_k0_eps0.2	1	181	1	3	12
PhyloSigFinder.dSig	m5_S45_k0_eps0.2	3	103	0	6	9
PhyloSigFinder.dSig	m5_S45_k0_eps0.2	2	48	1	6	9
PhyloSigFinder.dSig	m5_S45_k0_eps0.2	5	94	0	8	7
PhyloSigFinder.dSig	m5_S45_k0_eps0.2	4	123	1	7	8
PhySigs	m5_S45_k0_eps0.2	1	181	0	7	8
PhySigs	m5_S45_k0_eps0.2	3	103	0	7	8
PhySigs	m5_S45_k0_eps0.2	2	48	0	7	8
PhySigs	m5_S45_k0_eps0.2	5	94	0	7	8
PhySigs	m5_S45_k0_eps0.2	4	123	0	7	8
dSig	m5_S5_k0_eps0.2	1	161	1	6	6
dSig	m5_S5_k0_eps0.2	3	63	3	8	4
dSig	m5_S5_k0_eps0.2	2	142	1	4	8
dSig	m5_S5_k0_eps0.2	5	39	2	8	4
dSig	m5_S5_k0_eps0.2	4	46	3	7	5
PhyloSigFinder.dSig	m5_S5_k0_eps0.2	1	161	1	4	8
PhyloSigFinder.dSig	m5_S5_k0_eps0.2	3	63	4	7	5
PhyloSigFinder.dSig	m5_S5_k0_eps0.2	2	142	0	3	9
PhyloSigFinder.dSig	m5_S5_k0_eps0.2	5	39	2	7	5
PhyloSigFinder.dSig	m5_S5_k0_eps0.2	4	46	2	6	6
PhySigs	m5_S5_k0_eps0.2	1	161	1	5	7
PhySigs	m5_S5_k0_eps0.2	3	63	1	5	7
PhySigs	m5_S5_k0_eps0.2	2	142	1	5	7
PhySigs	m5_S5_k0_eps0.2	5	39	1	5	7
PhySigs	m5_S5_k0_eps0.2	4	46	1	5	7
dSig	m5_S62_k0_eps0.2	1	90	1	7	5
dSig	m5_S62_k0_eps0.2	3	35	2	6	6
dSig	m5_S62_k0_eps0.2	2	117	1	7	5
dSig	m5_S62_k0_eps0.2	5	43	3	7	5
dSig	m5_S62_k0_eps0.2	4	46	3	6	6
PhyloSigFinder.dSig	m5_S62_k0_eps0.2	1	90	1	5	7
PhyloSigFinder.dSig	m5_S62_k0_eps0.2	3	35	0	6	6
PhyloSigFinder.dSig	m5_S62_k0_eps0.2	2	117	1	3	9
PhyloSigFinder.dSig	m5_S62_k0_eps0.2	5	43	1	6	6
PhyloSigFinder.dSig	m5_S62_k0_eps0.2	4	46	1	5	7
PhySigs	m5_S62_k0_eps0.2	1	90	0	6	6
PhySigs	m5_S62_k0_eps0.2	3	35	0	6	6
PhySigs	m5_S62_k0_eps0.2	2	117	0	6	6
PhySigs	m5_S62_k0_eps0.2	5	43	0	6	6
PhySigs	m5_S62_k0_eps0.2	4	46	0	6	6
dSig	m5_S66_k0_eps0.2	1	157	0	7	7
dSig	m5_S66_k0_eps0.2	3	25	1	9	5
dSig	m5_S66_k0_eps0.2	2	79	0	8	6
dSig	m5_S66_k0_eps0.2	5	53	0	8	6
dSig	m5_S66_k0_eps0.2	4	94	0	7	7
PhyloSigFinder.dSig	m5_S66_k0_eps0.2	1	157	1	8	6
PhyloSigFinder.dSig	m5_S66_k0_eps0.2	3	25	0	8	6
PhyloSigFinder.dSig	m5_S66_k0_eps0.2	2	79	0	9	5
PhyloSigFinder.dSig	m5_S66_k0_eps0.2	5	53	1	7	7
PhyloSigFinder.dSig	m5_S66_k0_eps0.2	4	94	0	6	8
PhySigs	m5_S66_k0_eps0.2	1	157	0	7	7
PhySigs	m5_S66_k0_eps0.2	3	25	0	7	7
PhySigs	m5_S66_k0_eps0.2	2	79	0	7	7
PhySigs	m5_S66_k0_eps0.2	5	53	0	7	7
PhySigs	m5_S66_k0_eps0.2	4	94	0	7	7
dSig	m5_S69_k0_eps0.2	1	95	0	7	5
dSig	m5_S69_k0_eps0.2	3	19	0	7	5
dSig	m5_S69_k0_eps0.2	2	157	0	5	7
dSig	m5_S69_k0_eps0.2	5	33	2	8	4
dSig	m5_S69_k0_eps0.2	4	132	0	5	7
PhyloSigFinder.dSig	m5_S69_k0_eps0.2	1	95	0	4	8
PhyloSigFinder.dSig	m5_S69_k0_eps0.2	3	19	NA	NA	NA
PhyloSigFinder.dSig	m5_S69_k0_eps0.2	2	157	0	3	9
PhyloSigFinder.dSig	m5_S69_k0_eps0.2	5	33	0	7	5
PhyloSigFinder.dSig	m5_S69_k0_eps0.2	4	132	0	4	8
PhySigs	m5_S69_k0_eps0.2	1	95	0	4	8
PhySigs	m5_S69_k0_eps0.2	3	19	0	4	8
PhySigs	m5_S69_k0_eps0.2	2	157	0	4	8
PhySigs	m5_S69_k0_eps0.2	5	33	0	4	8
PhySigs	m5_S69_k0_eps0.2	4	132	0	4	8
dSig	m5_S71_k0_eps0.2	1	91	0	7	7
dSig	m5_S71_k0_eps0.2	3	112	0	8	6
dSig	m5_S71_k0_eps0.2	2	157	1	7	7
dSig	m5_S71_k0_eps0.2	5	30	0	7	7
dSig	m5_S71_k0_eps0.2	4	41	1	9	5
PhyloSigFinder.dSig	m5_S71_k0_eps0.2	1	91	0	7	7
PhyloSigFinder.dSig	m5_S71_k0_eps0.2	3	112	0	5	9
PhyloSigFinder.dSig	m5_S71_k0_eps0.2	2	157	0	5	9
PhyloSigFinder.dSig	m5_S71_k0_eps0.2	5	30	0	8	6
PhyloSigFinder.dSig	m5_S71_k0_eps0.2	4	41	0	9	5
PhySigs	m5_S71_k0_eps0.2	1	91	0	7	7
PhySigs	m5_S71_k0_eps0.2	3	112	0	7	7
PhySigs	m5_S71_k0_eps0.2	2	157	0	7	7
PhySigs	m5_S71_k0_eps0.2	5	30	0	7	7
PhySigs	m5_S71_k0_eps0.2	4	41	0	7	7
dSig	m5_S9_k0_eps0.2	1	175	1	7	6
dSig	m5_S9_k0_eps0.2	3	57	0	8	5
dSig	m5_S9_k0_eps0.2	2	159	0	7	6
dSig	m5_S9_k0_eps0.2	5	80	2	8	5
dSig	m5_S9_k0_eps0.2	4	125	0	7	6
PhyloSigFinder.dSig	m5_S9_k0_eps0.2	1	175	1	5	8
PhyloSigFinder.dSig	m5_S9_k0_eps0.2	3	57	2	5	8
PhyloSigFinder.dSig	m5_S9_k0_eps0.2	2	159	0	5	8
PhyloSigFinder.dSig	m5_S9_k0_eps0.2	5	80	1	8	5
PhyloSigFinder.dSig	m5_S9_k0_eps0.2	4	125	0	6	7
PhySigs	m5_S9_k0_eps0.2	1	175	0	7	6
PhySigs	m5_S9_k0_eps0.2	3	57	0	7	6
PhySigs	m5_S9_k0_eps0.2	2	159	0	7	6
PhySigs	m5_S9_k0_eps0.2	5	80	0	7	6
PhySigs	m5_S9_k0_eps0.2	4	125	0	7	6
dSig	m5_S18_k0_eps0.3	1	29	3	10	4
dSig	m5_S18_k0_eps0.3	3	167	0	6	8
dSig	m5_S18_k0_eps0.3	2	180	0	5	9
dSig	m5_S18_k0_eps0.3	5	26	2	10	4
dSig	m5_S18_k0_eps0.3	4	82	0	6	8
PhyloSigFinder.dSig	m5_S18_k0_eps0.3	1	29	0	7	7
PhyloSigFinder.dSig	m5_S18_k0_eps0.3	3	167	1	5	9
PhyloSigFinder.dSig	m5_S18_k0_eps0.3	2	180	0	5	9
PhyloSigFinder.dSig	m5_S18_k0_eps0.3	5	26	1	9	5
PhyloSigFinder.dSig	m5_S18_k0_eps0.3	4	82	1	7	7
PhySigs	m5_S18_k0_eps0.3	1	29	0	5	9
PhySigs	m5_S18_k0_eps0.3	3	167	0	5	9
PhySigs	m5_S18_k0_eps0.3	2	180	0	5	9
PhySigs	m5_S18_k0_eps0.3	5	26	0	5	9
PhySigs	m5_S18_k0_eps0.3	4	82	0	5	9
dSig	m5_S37_k0_eps0.3	1	63	2	5	7
dSig	m5_S37_k0_eps0.3	3	107	0	4	8
dSig	m5_S37_k0_eps0.3	2	178	2	6	6
dSig	m5_S37_k0_eps0.3	5	138	0	5	7
dSig	m5_S37_k0_eps0.3	4	129	1	5	7
PhyloSigFinder.dSig	m5_S37_k0_eps0.3	1	63	0	3	9
PhyloSigFinder.dSig	m5_S37_k0_eps0.3	3	107	1	2	10
PhyloSigFinder.dSig	m5_S37_k0_eps0.3	2	178	0	2	10
PhyloSigFinder.dSig	m5_S37_k0_eps0.3	5	138	0	2	10
PhyloSigFinder.dSig	m5_S37_k0_eps0.3	4	129	0	4	8
PhySigs	m5_S37_k0_eps0.3	1	63	0	5	7
PhySigs	m5_S37_k0_eps0.3	3	107	0	5	7
PhySigs	m5_S37_k0_eps0.3	2	178	0	5	7
PhySigs	m5_S37_k0_eps0.3	5	138	0	5	7
PhySigs	m5_S37_k0_eps0.3	4	129	0	5	7
dSig	m5_S3_k0_eps0.3	1	140	1	9	8
dSig	m5_S3_k0_eps0.3	3	108	1	11	6
dSig	m5_S3_k0_eps0.3	2	143	3	11	6
dSig	m5_S3_k0_eps0.3	5	168	1	9	8
dSig	m5_S3_k0_eps0.3	4	56	2	9	8
PhyloSigFinder.dSig	m5_S3_k0_eps0.3	1	140	1	7	10
PhyloSigFinder.dSig	m5_S3_k0_eps0.3	3	108	3	9	8
PhyloSigFinder.dSig	m5_S3_k0_eps0.3	2	143	3	9	8
PhyloSigFinder.dSig	m5_S3_k0_eps0.3	5	168	2	7	10
PhyloSigFinder.dSig	m5_S3_k0_eps0.3	4	56	3	9	8
PhySigs	m5_S3_k0_eps0.3	1	140	1	10	7
PhySigs	m5_S3_k0_eps0.3	3	108	1	10	7
PhySigs	m5_S3_k0_eps0.3	2	143	1	10	7
PhySigs	m5_S3_k0_eps0.3	5	168	1	10	7
PhySigs	m5_S3_k0_eps0.3	4	56	1	10	7
dSig	m5_S45_k0_eps0.3	1	136	0	5	2
dSig	m5_S45_k0_eps0.3	3	39	2	5	2
dSig	m5_S45_k0_eps0.3	2	125	0	4	3
dSig	m5_S45_k0_eps0.3	5	69	0	3	4
dSig	m5_S45_k0_eps0.3	4	168	0	4	3
PhyloSigFinder.dSig	m5_S45_k0_eps0.3	1	136	0	3	4
PhyloSigFinder.dSig	m5_S45_k0_eps0.3	3	39	2	3	4
PhyloSigFinder.dSig	m5_S45_k0_eps0.3	2	125	0	3	4
PhyloSigFinder.dSig	m5_S45_k0_eps0.3	5	69	0	3	4
PhyloSigFinder.dSig	m5_S45_k0_eps0.3	4	168	0	3	4
PhySigs	m5_S45_k0_eps0.3	1	136	0	4	3
PhySigs	m5_S45_k0_eps0.3	3	39	0	4	3
PhySigs	m5_S45_k0_eps0.3	2	125	0	4	3
PhySigs	m5_S45_k0_eps0.3	5	69	0	4	3
PhySigs	m5_S45_k0_eps0.3	4	168	0	4	3
dSig	m5_S5_k0_eps0.3	1	93	1	10	5
dSig	m5_S5_k0_eps0.3	3	55	1	10	5
dSig	m5_S5_k0_eps0.3	2	194	0	9	6
dSig	m5_S5_k0_eps0.3	5	167	1	10	5
dSig	m5_S5_k0_eps0.3	4	173	0	9	6
PhyloSigFinder.dSig	m5_S5_k0_eps0.3	1	93	0	8	7
PhyloSigFinder.dSig	m5_S5_k0_eps0.3	3	55	1	10	5
PhyloSigFinder.dSig	m5_S5_k0_eps0.3	2	194	0	6	9
PhyloSigFinder.dSig	m5_S5_k0_eps0.3	5	167	1	7	8
PhyloSigFinder.dSig	m5_S5_k0_eps0.3	4	173	0	6	9
PhySigs	m5_S5_k0_eps0.3	1	93	0	10	5
PhySigs	m5_S5_k0_eps0.3	3	55	0	10	5
PhySigs	m5_S5_k0_eps0.3	2	194	0	10	5
PhySigs	m5_S5_k0_eps0.3	5	167	0	10	5
PhySigs	m5_S5_k0_eps0.3	4	173	0	10	5
dSig	m5_S62_k0_eps0.3	1	152	1	8	8
dSig	m5_S62_k0_eps0.3	3	100	0	10	6
dSig	m5_S62_k0_eps0.3	2	83	1	9	7
dSig	m5_S62_k0_eps0.3	5	61	0	9	7
dSig	m5_S62_k0_eps0.3	4	169	0	9	7
PhyloSigFinder.dSig	m5_S62_k0_eps0.3	1	152	1	7	9
PhyloSigFinder.dSig	m5_S62_k0_eps0.3	3	100	0	7	9
PhyloSigFinder.dSig	m5_S62_k0_eps0.3	2	83	1	8	8
PhyloSigFinder.dSig	m5_S62_k0_eps0.3	5	61	0	8	8
PhyloSigFinder.dSig	m5_S62_k0_eps0.3	4	169	0	6	10
PhySigs	m5_S62_k0_eps0.3	1	152	0	8	8
PhySigs	m5_S62_k0_eps0.3	3	100	0	8	8
PhySigs	m5_S62_k0_eps0.3	2	83	0	8	8
PhySigs	m5_S62_k0_eps0.3	5	61	0	8	8
PhySigs	m5_S62_k0_eps0.3	4	169	0	8	8
dSig	m5_S66_k0_eps0.3	1	109	0	12	4
dSig	m5_S66_k0_eps0.3	3	47	3	13	3
dSig	m5_S66_k0_eps0.3	2	124	0	10	6
dSig	m5_S66_k0_eps0.3	5	40	3	15	1
dSig	m5_S66_k0_eps0.3	4	175	1	11	5
PhyloSigFinder.dSig	m5_S66_k0_eps0.3	1	109	1	9	7
PhyloSigFinder.dSig	m5_S66_k0_eps0.3	3	47	0	8	8
PhyloSigFinder.dSig	m5_S66_k0_eps0.3	2	124	1	9	7
PhyloSigFinder.dSig	m5_S66_k0_eps0.3	5	40	0	10	6
PhyloSigFinder.dSig	m5_S66_k0_eps0.3	4	175	1	9	7
PhySigs	m5_S66_k0_eps0.3	1	109	1	11	5
PhySigs	m5_S66_k0_eps0.3	3	47	1	11	5
PhySigs	m5_S66_k0_eps0.3	2	124	1	11	5
PhySigs	m5_S66_k0_eps0.3	5	40	1	11	5
PhySigs	m5_S66_k0_eps0.3	4	175	1	11	5
dSig	m5_S69_k0_eps0.3	1	59	0	6	7
dSig	m5_S69_k0_eps0.3	3	182	0	6	7
dSig	m5_S69_k0_eps0.3	2	119	0	6	7
dSig	m5_S69_k0_eps0.3	5	179	0	8	5
dSig	m5_S69_k0_eps0.3	4	135	1	9	4
PhyloSigFinder.dSig	m5_S69_k0_eps0.3	1	59	0	7	6
PhyloSigFinder.dSig	m5_S69_k0_eps0.3	3	182	0	4	9
PhyloSigFinder.dSig	m5_S69_k0_eps0.3	2	119	0	4	9
PhyloSigFinder.dSig	m5_S69_k0_eps0.3	5	179	0	5	8
PhyloSigFinder.dSig	m5_S69_k0_eps0.3	4	135	1	4	9
PhySigs	m5_S69_k0_eps0.3	1	59	0	7	6
PhySigs	m5_S69_k0_eps0.3	3	182	0	7	6
PhySigs	m5_S69_k0_eps0.3	2	119	0	7	6
PhySigs	m5_S69_k0_eps0.3	5	179	0	7	6
PhySigs	m5_S69_k0_eps0.3	4	135	0	7	6
dSig	m5_S71_k0_eps0.3	1	139	0	7	7
dSig	m5_S71_k0_eps0.3	3	52	1	8	6
dSig	m5_S71_k0_eps0.3	2	190	0	6	8
